BAS,Synthetic InstrumentSPEC,Synthetic InstrumentSPEC,Synthetic,SwP_EUR_OptY01_SwpY10_1Y_6M_Str2.3pct_Rec_s_EUR,SwP_EUR_OptY01_SwpY10_1Y_6M_Str2.3pct_Rec_s_EUR,Synthetic Model,EUR,@aggregate positions & convert cash flows,@synthetic component physical settle,Physical Settlement,Swaption_Phys,Swaption,Swap,@maturity relative days,EUR-SWAP,,,,,,,,,,,,,,,
BAS,SwaptionSPEC,SwaptionSPEC,Swaption,SwC_USD_OptY15_SwpY15_1Y_6M_Str1.7pct_Rec_EUR,SwC_USD_OptY15_SwpY15_1Y_6M_Str1.7pct_Rec_EUR,Swaption Model,FALSE,USD,USD-SWAP,0,5475,Swaption,actual/365,simple,%,1.7,Swap_Fixed_USD_Y15_Opt_Y15_Str-1.7pct_Cash,Swap_Float_USD_Y15_Opt_Y15_Str-1.7pct_Cash,USD_Swaption_Volatility_Surface Output,actual/365,continuous,%,@volatility,@swaption settlement THEO,Cash Settlement,@maturity relative days,EUR-SWAP,EUR-SWAP,Swaption,Swap
BAS,Zero Coupon BondSPEC,Zero Coupon BondSPEC,Zero Coupon Bond,ZCB_EUR-SWAP_M03_EUR,ZCB_EUR-SWAP_M03_EUR,Zero Coupon Bond Model,Backward,EUR,EUR-SWAP,Zero Coupon Bond,91,EUR,100,@cash flow generator,@cashflow settlement,@maturity relative years,EUR-SWAP,EUR-SWAP,Zero Coupon Bond,TestCR-AAA,,,,,,,,,,
BAS,Zero Coupon BondSPEC,Zero Coupon BondSPEC,Zero Coupon Bond,ZCB_EUR-SWAP_Y37_EUR,ZCB_EUR-SWAP_Y37_EUR,Zero Coupon Bond Model,Backward,EUR,EUR-SWAP,Zero Coupon Bond,13505,EUR,100,@cash flow generator,@cashflow settlement,@maturity relative years,EUR-SWAP,EUR-SWAP,Zero Coupon Bond,TestCR-AAA,,,,,,,,,,
BAS,SwaptionSPEC,SwaptionSPEC,Swaption,SwC_USD_OptM03_SwpY05_1Y_6M_Str1.5pct_Pay_EUR,SwC_USD_OptM03_SwpY05_1Y_6M_Str1.5pct_Pay_EUR,Swaption Model,TRUE,USD,USD-SWAP,0,91,Swaption,actual/365,simple,%,1.5,Swap_Fixed_USD_Y05_Opt_M03_Str-1.5pct_Cash,Swap_Float_USD_Y05_Opt_M03_Str-1.5pct_Cash,USD_Swaption_Volatility_Surface Output,actual/365,continuous,%,@volatility,@swaption settlement THEO,Cash Settlement,@maturity relative days,EUR-SWAP,EUR-SWAP,Swaption,Swap
BAS,SwaptionSPEC,SwaptionSPEC,Swaption,SwC_USD_OptM03_SwpY10_1Y_6M_Str2.1pct_Rec_EUR,SwC_USD_OptM03_SwpY10_1Y_6M_Str2.1pct_Rec_EUR,Swaption Model,FALSE,USD,USD-SWAP,0,91,Swaption,actual/365,simple,%,2.1,Swap_Fixed_USD_Y10_Opt_M03_Str-2.1pct_Cash,Swap_Float_USD_Y10_Opt_M03_Str-2.1pct_Cash,USD_Swaption_Volatility_Surface Output,actual/365,continuous,%,@volatility,@swaption settlement THEO,Cash Settlement,@maturity relative days,EUR-SWAP,EUR-SWAP,Swaption,Swap
BAS,Synthetic InstrumentSPEC,Synthetic InstrumentSPEC,Synthetic,SwP_EUR_OptY25_SwpY03_1Y_6M_Str3.5pct_Rec_s_EUR,SwP_EUR_OptY25_SwpY03_1Y_6M_Str3.5pct_Rec_s_EUR,Synthetic Model,EUR,@aggregate positions & convert cash flows,@synthetic component physical settle,Physical Settlement,Swaption_Phys,Swaption,Swap,@maturity relative days,EUR-SWAP,,,,,,,,,,,,,,,
rm_ro,Synthetic InstrumentSPEC : Component Weights,Component Weights,Synthetic InstrumentSPEC,1,,,,,,,,,,,,,,,,,,,,,,,,,,
rm_ro,Synthetic InstrumentSPEC : Underlying Financial Entities,Underlying Financial Entities,Synthetic InstrumentSPEC,SwP_EUR_OptY25_SwpY03_1Y_6M_Str3.5pct_Rec_EUR,,,,,,,,,,,,,,,,,,,,,,,,,,
rm_ro,Synthetic InstrumentSPEC : Component Weights,Component Weights,Synthetic InstrumentSPEC,0,,,,,,,,,,,,,,,,,,,,,,,,,,
rm_ro,Synthetic InstrumentSPEC : Underlying Financial Entities,Underlying Financial Entities,Synthetic InstrumentSPEC,Swap_Fixed_EUR_Y03_Opt_Y25_Str-3.5pct_Phys,,,,,,,,,,,,,,,,,,,,,,,,,,
rm_ro,Synthetic InstrumentSPEC : Component Weights,Component Weights,Synthetic InstrumentSPEC,0,,,,,,,,,,,,,,,,,,,,,,,,,,
rm_ro,Synthetic InstrumentSPEC : Underlying Financial Entities,Underlying Financial Entities,Synthetic InstrumentSPEC,Swap_Float_EUR_Y03_Opt_Y25_Str-3.5pct_Phys,,,,,,,,,,,,,,,,,,,,,,,,,,
BAS,Equity ForwardSPEC,Equity ForwardSPEC,Equity Forward,EqFwd_.AEX_M01_Str0.005_EUR,EqFwd_.AEX_M01_Str0.005_EUR,Equity Forward Model,EUR,EUR-SWAP,30,Equity Forward,EUR,0,MarketIndex_.AEX,@forward settlement THEO,Cash Settlement,@maturity relative years,EUR-SWAP,EUR-SWAP,equity index Forward,N/A,,,,,,,,,,
